level,frequency,word_plain,reading
N3,低频,なす,なす
N5,未分频,高校,こうこう
N2,中频,丸,まる
N4,未分频,間,かん
N2,低频,ぎゅうぎゅう,ぎゅうぎゅう
N1,中频,昭和,しょうわ
N2,中频,明治,めいじ
N2,低频,党,とう
N2,中频,理系,りけい
N2,中频,貝,かい
N1,中频,班,はん
N1,低频,高名,こうめい
N2,低频,落ちこぼれ,おちこぼれ
N2,中频,大盛り,おおもり
N1,低频,うやむや,うやむや
N3,低频,換気扇,かんきせん
N1,低频,一握り,ひとにぎり
N1,低频,頻発,ひんぱつ
N1,低频,悪循環,あくじゅんかん
N4,未分频,〜やすい,〜やすい
N5,未分频,〜か月,〜かげつ
N3,低频,キログラム,kilogram；(フ) kilogramme
N3,中频,キロメートル,(フ) kilomètre
N5,未分频,グラム,gram；(法) gramme
N5,未分频,〜さん,〜さん
N4,未分频,〜過ぎ,〜すぎ
N5,未分频,〜ちゃん,〜ちゃん
N4,未分频,〜にくい,〜にくい
N5,未分频,〜回,〜かい
N5,未分频,〜階,〜かい
N5,未分频,〜君,〜くん
N5,未分频,〜個,〜こ
N5,未分频,〜頃,〜ごろ
N5,未分频,〜冊,〜さつ
N5,未分频,時,じ
N5,未分频,〜人,〜にん
N4,未分频,台,だい
N4,未分频,〜達,〜たち
N4,未分频,〜中,〜じゅう
N5,未分频,中,ちゅう
N4,未分频,度,ど
N3,低频,〜ら,〜ら
N5,未分频,日,にち
N4,未分频,〜杯,〜はい
N5,未分频,〜番,〜ばん
N4,未分频,〜番目,〜ばんめ
N5,未分频,〜匹,〜ひき
N5,未分频,分,ふん
N5,未分频,〜本,〜ほん
N5,未分频,〜枚,〜まい
N3,低频,〜末,〜まつ
N4,未分频,〜様,〜さま
N4,未分频,あ,あ
N5,未分频,ああ,ああ
N4,未分频,アイスクリーム,ice cream
N5,未分频,あさって,あさって
N5,未分频,あそこ,あそこ
N3,低频,あたし,あたし
N5,未分频,あちら,あちら
N5,未分频,あっち,あっち
N5,未分频,あなた,あなた
N5,未分频,あの,あの
N5,未分频,あのう,あのう
N5,未分频,アパート,apartment house
N5,未分频,あまり,あまり
N4,未分频,飴,あめ
N3,中频,アメリカ,America
N5,未分频,ある,ある
N3,低频,アルバム,album
N5,未分频,あれ,あれ
N5,未分频,いい,いい
N5,未分频,いいえ,いいえ
N1,低频,イギリス,(ポ) inglez
N5,未分频,いくつ,いくつ
N5,未分频,いくら,いくら
N5,未分频,いつ,いつ
N5,未分频,いっぱい,いっぱい
N5,未分频,いつも,いつも
N4,未分频,いや,いや
N5,未分频,いる,いる
N5,未分频,いろいろ,いろいろ
N4,未分频,インターネット,internet
N5,未分频,ううん,ううん
N2,中频,うどん,うどん
N5,未分频,うるさい,うるさい
N5,未分频,うん,うん
N5,未分频,エアコン,air conditioner
N5,未分频,ええ,ええ
N5,未分频,おいしい,おいしい
N1,低频,オーストラリア,Australia
N5,未分频,おじ,おじ
N5,未分频,おじいさん,おじいさん
N5,未分频,おじさん,おじさん
N3,中频,おっしゃる,おっしゃる
N5,未分频,おととい,おととい
N5,未分频,おととし,おととし
N5,未分频,おなか,おなか
N5,未分频,おにぎり,おにぎり
N5,未分频,おば,おば
N5,未分频,おばあさん,おばあさん
N5,未分频,菓子,かし
N5,未分频,お兄さん,おにいさん
N5,未分频,お姉さん,おねえさん
N5,未分频,お茶,おちゃ
N5,未分频,お父さん,おとうさん
N5,未分频,お母さん,おかあさん
N5,未分频,カップ,cup
N5,未分频,かばん,かばん
N5,未分频,カメラ,camera
N4,未分频,カラオケ,からおけ
N5,未分频,カレー,curry
N5,未分频,かわいい,かわいい
N5,未分频,ギター,guitar
N5,未分频,昨日,きのう
N5,未分频,きれい,きれい
N3,中频,キロ,(フ) kilo
N5,未分频,くださる,くださる
N5,未分频,クラス,class
N2,低频,クリスマス,Christmas・Xmas
N5,未分频,ケーキ,cake
N5,未分频,コート,coat
N5,未分频,コーヒー,coffee
N3,低频,コーラ,cola
N5,未分频,ここ,ここ
N5,未分频,こちら,こちら
N5,未分频,こっち,こっち
N5,未分频,コップ,(オ) kop
N5,未分频,この,この
N3,高频,この前,このまえ
N3,高频,この辺,このへん
N5,未分频,コピー,copy
N4,未分频,ごみ箱,ごみばこ
N3,中频,ゴルフ,golf
N5,未分频,これ,これ
N5,未分频,こんな,こんな
N4,未分频,コンビニ,convenience store
N5,未分频,ご飯,ごはん
N4,未分频,さあ,さあ
N5,未分频,サッカー,soccer
N5,未分频,しかし,しかし
N5,未分频,じゃ,じゃ
N5,未分频,シャツ,shirt
N5,未分频,シャワー,shower
N5,未分频,ジュース,juice
N5,未分频,しょうゆ,しょうゆ
N3,低频,ショッピング,shopping
N5,未分频,すいか,すいか
N3,中频,スープ,soup
N5,未分频,スカート,skirt
N5,未分频,スキー,ski
N1,低频,すき焼き,すきやき
N5,未分频,すぐ,すぐ
N4,未分频,ずつ,ずつ
N5,未分频,ストーブ,stove
N3,高频,すばらしい,すばらしい
N3,低频,スプーン,spoon
N5,未分频,スポーツ,sport
N5,未分频,ズボン,(フ) jupon
N1,中频,ずらり,ずらり
N4,未分频,スリッパ,slipper
N5,未分频,する,する
N5,未分频,セーター,sweater
N2,中频,石 鹸,せっけん
N4,未分频,ゼロ,zero
N4,未分频,センチ,(フ) centimètre
N5,未分频,そう,そう
N4,未分频,そうだ,そうだ
N5,未分频,そこ,そこ
N5,未分频,そして,そして
N5,未分频,そちら,そちら
N5,未分频,そっち,そっち
N5,未分频,その,その
N4,未分频,その後,そのご
N4,未分频,蕎麦,そば
N5,未分频,そば,そば
N5,未分频,それ,それ
N5,未分频,それから,それから
N5,未分频,それでは,それでは
N2,高频,だいぶ,だいぶ
N5,未分频,だから,だから
N5,未分频,たくさん,たくさん
N5,未分频,タクシー,taxi
N5,未分频,だけ,だけ
N5,未分频,ただ,ただ
N5,未分频,ただ今,ただいま
N4,未分频,タバコ,(ポ) tabaco
N4,未分频,たぶん,たぶん
N5,未分频,ダンス,dance
N5,未分频,だんだん,だんだん
N4,未分频,チーズ,cheese
N3,低频,チーム,team
N5,未分频,チケット,ticket
N5,未分频,ちょうど,ちょうど
N5,未分频,チョコレート,chocolate
N5,未分频,ちょっと,ちょっと
N1,低频,ちらり,ちらり
N5,未分频,つまらない,つまらない
N3,低频,テープ,tape
N5,未分频,テーブル,table
N5,未分频,テキスト,text
N5,未分频,できる,できる
N5,未分频,テスト,test
N5,未分频,では,では
N5,未分频,デパート,department store
N5,未分频,でも,でも
N5,未分频,テレビ,television
N4,未分频,天ぷら,てんぷら
N5,未分频,ドア,door
N5,未分频,トイレ,toilet
N5,未分频,どう,どう
N5,未分频,どうして,どうして
N5,未分频,どうぞ,どうぞ
N5,未分频,どうも,どうも
N5,未分频,どうやって,どうやって
N5,未分频,どこ,どこ
N5,未分频,どちら,どちら
N5,未分频,どっち,どっち
N5,未分频,とても,とても
N5,未分频,どなた,どなた
N5,未分频,どの,どの
N3,低频,ドリンク,drink
N5,未分频,どれ,どれ
N5,未分频,どれぐらい,どれぐらい
N5,未分频,どんな,どんな
N5,未分频,ない,ない
N5,未分频,ナイフ,knife
N5,未分频,ながら,ながら
N5,未分频,なぜ,なぜ
N5,未分频,など,など
N4,未分频,なる,なる
N5,未分频,にぎやか,にぎやか
N5,未分频,ニュース,news
N5,未分频,ぬるい,ぬるい
N5,未分频,ねえ,ねえ
N4,未分频,ネクタイ,necktie
N5,未分频,ノート,note
N2,中频,ノートパソコン,notebook personal computer
N3,低频,のり,のり
N5,未分频,パーティー,party
N5,未分频,はい,はい
N3,中频,バイク,bike
N4,未分频,はく,はく
N5,未分频,バス,bus
N2,中频,ばっちり,ばっちり
N5,未分频,バナナ,banana
N5,未分频,パン,(ポ) pão
N4,未分频,ハンカチ,handkerchief
N2,低频,ビール,(オ) bier
N5,未分频,プール,pool
N3,低频,フォーク,fork
N3,中频,ふらふら,ふらふら
N3,中频,ふるさと,ふるさと
N5,未分频,ページ,page
N5,未分频,ベッド,bed
N5,未分频,ペン,pen
N5,未分频,ボールペン,ball pen
N3,高频,ポケット,pocket
N4,未分频,ポスト,post
N4,未分频,ボタン,button
N3,低频,ポテト,potato
N5,未分频,ホテル,hotel
N5,未分频,まず,まず
N5,未分频,まずい,まずい
N5,未分频,また,また
N5,未分频,まだ,まだ
N5,未分频,まっすぐ,まっすぐ
N3,中频,マンション,mansion
N4,未分频,みそ汁,みそしる
N4,未分频,ミルク,milk
N5,未分频,みんな,みんな
N5,未分频,メートル,metre
N5,未分频,メール,mail
N3,中频,メールアドレス,mail address
N5,未分频,もう,もう
N5,未分频,もしもし,もしもし
N5,未分频,もっと,もっと
N5,未分频,ゆうべ,ゆうべ
N5,未分频,ゆっくり,ゆっくり
N4,未分频,ヨーロッパ,(ポ) Europa
N5,未分频,ラーメン,らーめん
N5,未分频,ラジオ,radio
N3,低频,ラジカセ,(和) radio＋cassette
N5,未分频,りんご,りんご
N1,中频,レコード,record
N5,未分频,レストラン,(フ) restaurant
N5,未分频,ワイシャツ,white shirt
N4,未分频,悪い,わるい
N5,未分频,安い,やすい
N5,未分频,暗い,くらい
N4,未分频,以外,いがい
N4,未分频,以上,いじょう
N4,未分频,以前,いぜん
N4,未分频,以内,いない
N4,未分频,意味,いみ
N4,未分频,易しい,やさしい
N5,未分频,椅子,いす
N4,未分频,違う,ちがう
N5,未分频,医者,いしゃ
N5,未分频,一つ,ひとつ
N5,未分频,一緒,いっしょ
N5,未分频,一人,ひとり
N5,未分频,一日,いちにち
N5,未分频,一日,ついたち
N5,未分频,一番,いちばん
N4,未分频,引く,ひく
N5,未分频,飲み物,のみもの
N5,未分频,飲む,のむ
N3,中频,飲食,いんしょく
N5,未分频,右,みぎ
N5,未分频,雨,あめ
N4,未分频,運動,うんどう
N4,未分频,運動会,うんどうかい
N4,未分频,運動場,うんどうじょう
N5,未分频,映画,えいが
N5,未分频,映画館,えいがかん
N5,未分频,泳ぐ,およぐ
N5,未分频,英語,えいご
N5,未分频,駅,えき
N4,未分频,駅前,えきまえ
N5,未分频,円,えん
N5,未分频,遠い,とおい
N5,未分频,鉛筆,えんぴつ
N5,未分频,塩,しお
N5,未分频,汚い,きたない
N5,未分频,奥さん,おくさん
N4,未分频,押す,おす
N5,未分频,横,よこ
N3,低频,横断歩道,おうだんほどう
N5,未分频,黄色い,きいろい
N3,低频,億,おく
N3,低频,俺,おれ
N4,未分频,温かい,あたたかい
N4,未分频,温泉,おんせん
N4,未分频,音,おと
N5,未分频,音楽,おんがく
N5,未分频,下,した
N4,未分频,下手,へた
N5,未分频,何,なに
N5,未分频,何,なん
N5,未分频,何か,なにか
N5,未分频,夏,なつ
N5,未分频,夏休み,なつやすみ
N5,未分频,家,いえ
N5,未分频,うち,うち
N4,未分频,家具,かぐ
N5,未分频,家族,かぞく
N3,低频,家庭,かてい
N4,未分频,暇,ひま
N5,未分频,果物,くだもの
N5,未分频,歌,うた
N5,未分频,歌う,うたう
N5,未分频,火曜日,かようび
N5,未分频,花,はな
N5,未分频,荷物,にもつ
N4,未分频,課長,かちょう
N5,未分频,会う,あう
N4,未分频,会議,かいぎ
N4,未分频,会議室,かいぎしつ
N5,未分频,会社,かいしゃ
N5,未分频,会社員,かいしゃいん
N4,未分频,会話,かいわ
N5,未分频,海,うみ
N3,高频,海外,かいがい
N5,未分频,皆さん,みなさん
N5,未分频,絵,え
N4,未分频,開く,あく
N5,未分频,開ける,あける
N5,未分频,階段,かいだん
N5,未分频,外,そと
N5,未分频,外国,がいこく
N5,未分频,外国人,がいこくじん
N4,未分频,街,まち
N4,未分频,角,かど
N5,未分频,学校,がっこう
N5,未分频,学生,がくせい
N5,未分频,楽しい,たのしい
N5,未分频,掛かる,かかる
N5,未分频,掛ける,かける
N4,未分频,活動,かつどう
N3,中频,滑る,すべる
N5,未分频,寒い,さむい
N3,高频,歓迎会,かんげいかい
N5,未分频,漢字,かんじ
N5,未分频,甘い,あまい
N5,未分频,丸い,まるい
N5,未分频,眼鏡,めがね
N5,未分频,顔,かお
N3,中频,企業,きぎょう
N5,未分频,危ない,あぶない
N5,未分频,机,つくえ
N5,未分频,帰り,かえり
N5,未分频,帰る,かえる
N4,未分频,帰国,きこく
N3,高频,気温,きおん
N4,未分频,季節,きせつ
N3,中频,記念品,きねんひん
N5,未分频,起きる,おきる
N5,未分频,喫茶店,きっさてん
N5,未分频,休む,やすむ
N4,未分频,吸う,すう
